"","Pop","Year","Sex","Cause","Age","Count"
"341","USA",2000,1,4,7,21.5803015663217
"342","USA",2000,1,4,8,20.1871361334712
"343","USA",2000,1,4,9,19.1950201198211
"344","USA",2000,1,4,10,18.5452671091709
"345","USA",2000,1,4,11,18.1988099000722
"346","USA",2000,1,4,12,18.125273604303
"347","USA",2000,1,4,13,18.3060974778734
"348","USA",2000,1,4,14,18.7318782472426
"349","USA",2000,1,4,15,19.3988148436625
"350","USA",2000,1,4,16,20.3119238663857
"351","USA",2000,1,4,17,21.4765448587261
"352","USA",2000,1,4,18,22.9089874865471
"353","USA",2000,1,4,19,24.6213058361717
"354","USA",2000,1,4,20,26.6376392708529
"355","USA",2000,1,4,21,28.9727410575438
"356","USA",2000,1,4,22,31.6571103463944
"357","USA",2000,1,4,23,34.7080182314685
"358","USA",2000,1,4,24,38.161585139428
"359","USA",2000,1,4,25,42.0393868567045
"360","USA",2000,1,4,26,46.3820399525358
"361","USA",2000,1,4,27,51.2154544291277
"362","USA",2000,1,4,28,56.5826134649494
"363","USA",2000,1,4,29,62.510484990381
"364","USA",2000,1,4,30,69.044469105111
"365","USA",2000,1,4,31,76.2163150392948
"366","USA",2000,1,4,32,84.079134928983
"367","USA",2000,1,4,33,92.6855372027127
"368","USA",2000,1,4,34,102.109858175197
"369","USA",2000,1,4,35,112.455880547871
"370","USA",2000,1,4,36,123.824805053247
"371","USA",2000,1,4,37,136.354506393691
"372","USA",2000,1,4,38,150.146979844573
"373","USA",2000,1,4,39,165.263909754474
"374","USA",2000,1,4,40,181.757615182844
"375","USA",2000,1,4,41,199.519519562501
"376","USA",2000,1,4,42,218.534145893622
"377","USA",2000,1,4,43,238.64153933425
"378","USA",2000,1,4,44,259.791707822568
"379","USA",2000,1,4,45,281.913005023518
"380","USA",2000,1,4,46,304.946134162604
"381","USA",2000,1,4,47,328.847984743745
"382","USA",2000,1,4,48,353.501999691105
"383","USA",2000,1,4,49,378.637023225957
"384","USA",2000,1,4,50,404.006452508508
"385","USA",2000,1,4,51,429.062424279653
"386","USA",2000,1,4,52,453.495957821599
"387","USA",2000,1,4,53,477.033203132103
"388","USA",2000,1,4,54,499.512048159782
"389","USA",2000,1,4,55,521.332158571176
"390","USA",2000,1,4,56,542.575471252922
"391","USA",2000,1,4,57,564.047640731499
"392","USA",2000,1,4,58,585.976343481071
"393","USA",2000,1,4,59,609.052422060311
"394","USA",2000,1,4,60,633.532291422967
"395","USA",2000,1,4,61,659.926972230538
"396","USA",2000,1,4,62,688.514054487649
"397","USA",2000,1,4,63,719.778912657385
"398","USA",2000,1,4,64,754.058603669421
"399","USA",2000,1,4,65,791.833058070968
"400","USA",2000,1,4,66,833.473850144149
"401","USA",2000,1,4,67,879.062533485757
"402","USA",2000,1,4,68,928.795211963901
"403","USA",2000,1,4,69,981.708453876407
"404","USA",2000,1,4,70,1037.43226806428
"405","USA",2000,1,4,71,1093.61081343146
"406","USA",2000,1,4,72,1149.02414415729
"407","USA",2000,1,4,73,1200.52282256814
"408","USA",2000,1,4,74,1246.28128463189
"409","USA",2000,1,4,75,1282.82737278006
"410","USA",2000,1,4,76,1308.25071116023
"411","USA",2000,1,4,77,1320.23641152254
"412","USA",2000,1,4,78,1317.82235955975
"413","USA",2000,1,4,79,1301.19919545831
"414","USA",2000,1,4,80,1270.98217952643
"415","USA",2000,1,4,81,1228.96063445131
"416","USA",2000,1,4,82,1176.66821607159
"417","USA",2000,1,4,83,1114.78835363812
"418","USA",2000,1,4,84,1044.70136967888
"419","USA",2000,1,4,85,966.408038923601
"420","USA",2000,1,4,86,881.526767860081
"421","USA",2000,1,4,87,791.196584613518
"422","USA",2000,1,4,88,697.909595567182
"423","USA",2000,1,4,89,604.082983343996
"424","USA",2000,1,4,90,512.603472634703
"425","USA",2000,1,4,91,426.165175453935
"426","USA",2000,1,4,92,346.992361028644
"427","USA",2000,1,4,93,277.004282954968
"428","USA",2000,1,4,94,216.971981801903
"429","USA",2000,1,4,95,167.125844942663
"430","USA",2000,1,4,96,126.797843540237
"431","USA",2000,1,4,97,94.9847488483671
"432","USA",2000,1,4,98,70.3863345469224
"433","USA",2000,1,4,99,51.7117830521489
"434","USA",2000,1,4,100,37.7384142170375
"435","USA",2000,1,4,101,27.4057389440182
"436","USA",2000,1,4,102,19.8368845515134
"437","USA",2000,1,4,103,14.3243077819094
"438","USA",2000,1,4,104,10.3285151698802
"439","USA",2000,1,4,105,7.43959535494481
"440","USA",2000,1,4,106,5.35560145206768
"441","USA",2000,1,4,107,3.8538439132733
"442","USA",2000,1,4,108,2.7726895555713
"443","USA",2000,1,4,109,1.99461254331002
"444","USA",2000,1,4,110,1.43483873361492
"445","USA",2000,1,5,0,0.939307310994754
"446","USA",2000,1,5,1,1.07117516664367
"447","USA",2000,1,5,2,1.22191509263743
"448","USA",2000,1,5,3,1.39452140677635
"449","USA",2000,1,5,4,1.59269588955684
"450","USA",2000,1,5,5,1.8207789007354
"451","USA",2000,1,5,6,2.08403750032497
"452","USA",2000,1,5,7,2.38873554718554
"453","USA",2000,1,5,8,2.74232675158308
"454","USA",2000,1,5,9,3.15374718486413
"455","USA",2000,1,5,10,3.6334716024881
"456","USA",2000,1,5,11,4.19405791804328
"457","USA",2000,1,5,12,4.84977839070264
"458","USA",2000,1,5,13,5.61742894485082
"459","USA",2000,1,5,14,6.51534661717281
"460","USA",2000,1,5,15,7.56400667301266
"461","USA",2000,1,5,16,8.78548332348075
"462","USA",2000,1,5,17,10.2024382382123
"463","USA",2000,1,5,18,11.8403237063256
"464","USA",2000,1,5,19,13.7234787721408
"465","USA",2000,1,5,20,15.8792818034492
"466","USA",2000,1,5,21,18.3317509534838
"467","USA",2000,1,5,22,21.1104580219607
"468","USA",2000,1,5,23,24.2424881821775
"469","USA",2000,1,5,24,27.7643857034025
"470","USA",2000,1,5,25,31.7185231588672
"471","USA",2000,1,5,26,36.1551737025285
"472","USA",2000,1,5,27,41.1415731796815
"473","USA",2000,1,5,28,46.7428838550055
"474","USA",2000,1,5,29,53.0405800591008
"475","USA",2000,1,5,30,60.1114649969612
"476","USA",2000,1,5,31,68.0377746946942
"477","USA",2000,1,5,32,76.8908680667791
"478","USA",2000,1,5,33,86.7100206161905
"479","USA",2000,1,5,34,97.517567188358
"480","USA",2000,1,5,35,109.221493660148
"481","USA",2000,1,5,36,121.740570494098
"482","USA",2000,1,5,37,134.803474566028
"483","USA",2000,1,5,38,148.209393098328
"484","USA",2000,1,5,39,161.589000434824
"485","USA",2000,1,5,40,174.654560192222
"486","USA",2000,1,5,41,187.017888066464
"487","USA",2000,1,5,42,198.344987833296
"488","USA",2000,1,5,43,208.22207356609
"489","USA",2000,1,5,44,216.318489634956
"490","USA",2000,1,5,45,222.235122808035
"491","USA",2000,1,5,46,225.753811300641
"492","USA",2000,1,5,47,226.715324202176
"493","USA",2000,1,5,48,225.140124010411
"494","USA",2000,1,5,49,221.324665115617
"495","USA",2000,1,5,50,215.514270001793
"496","USA",2000,1,5,51,208.338221841653
"497","USA",2000,1,5,52,200.101519642464
"498","USA",2000,1,5,53,191.436288381796
"499","USA",2000,1,5,54,182.578585688349
"500","USA",2000,1,5,55,174.043899130467
"501","USA",2000,1,5,56,165.960192965538
"502","USA",2000,1,5,57,158.695987921453
"503","USA",2000,1,5,58,152.289920501567
"504","USA",2000,1,5,59,146.986623800236
"505","USA",2000,1,5,60,142.782025309888
"506","USA",2000,1,5,61,139.853752652391
"507","USA",2000,1,5,62,138.201726440059
"508","USA",2000,1,5,63,137.964152861136
"509","USA",2000,1,5,64,139.184755178942
"510","USA",2000,1,5,65,142.00493509439
"511","USA",2000,1,5,66,146.545300253301
"512","USA",2000,1,5,67,152.958222190158
"513","USA",2000,1,5,68,161.457601308686
"514","USA",2000,1,5,69,172.179384707603
"515","USA",2000,1,5,70,185.417043764261
"516","USA",2000,1,5,71,201.245373506207
"517","USA",2000,1,5,72,219.9835131855
"518","USA",2000,1,5,73,241.620970545007
"519","USA",2000,1,5,74,266.41995270936
"520","USA",2000,1,5,75,294.131769042179
"521","USA",2000,1,5,76,324.793811317643
"522","USA",2000,1,5,77,357.813218855346
"523","USA",2000,1,5,78,392.859355599203
"524","USA",2000,1,5,79,428.984491050213
"525","USA",2000,1,5,80,465.453717024536
"526","USA",2000,1,5,81,500.855959984578
"527","USA",2000,1,5,82,534.018440784315
"528","USA",2000,1,5,83,562.61922791483
"529","USA",2000,1,5,84,584.918561562224
"530","USA",2000,1,5,85,597.850840542495
"531","USA",2000,1,5,86,599.628775744191
"532","USA",2000,1,5,87,588.267160526271
"533","USA",2000,1,5,88,563.52931691316
"534","USA",2000,1,5,89,526.167116920042
"535","USA",2000,1,5,90,478.348630725585
"536","USA",2000,1,5,91,423.268415812778
"537","USA",2000,1,5,92,364.453417622128
"538","USA",2000,1,5,93,305.7407978282
"539","USA",2000,1,5,94,250.09816490319
"540","USA",2000,1,5,95,199.956174599134
"541","USA",2000,1,5,96,156.519412711693
"542","USA",2000,1,5,97,120.302537712766
"543","USA",2000,1,5,98,91.0007091540488
"544","USA",2000,1,5,99,67.9573227229548
"545","USA",2000,1,5,100,50.2343870067753
"546","USA",2000,1,5,101,36.8540390384992
"547","USA",2000,1,5,102,26.899497894213
"548","USA",2000,1,5,103,19.5603863682989
"549","USA",2000,1,5,104,14.1901342636196
"550","USA",2000,1,5,105,10.276753029574
"551","USA",2000,1,5,106,7.43527386835596
"552","USA",2000,1,5,107,5.37573104356222
"553","USA",2000,1,5,108,3.88534403527739
"554","USA",2000,1,5,109,2.80752380334546
"555","USA",2000,1,5,110,2.02854372464967
"556","USA",2000,1,6,0,98.2985575550341
"557","USA",2000,1,6,1,84.042608373838
"558","USA",2000,1,6,2,72.2647878164709
"559","USA",2000,1,6,3,62.6986678463543
"560","USA",2000,1,6,4,55.0738598800052
"561","USA",2000,1,6,5,49.1037634821712
"562","USA",2000,1,6,6,44.5043534088197
"563","USA",2000,1,6,7,41.0528963138202
"564","USA",2000,1,6,8,38.533678327843
"565","USA",2000,1,6,9,36.7961778225667
"566","USA",2000,1,6,10,35.6918684068864
"567","USA",2000,1,6,11,35.114118658218
"568","USA",2000,1,6,12,34.9718281704794
"569","USA",2000,1,6,13,35.1874041504227
"570","USA",2000,1,6,14,35.700678369322
"571","USA",2000,1,6,15,36.4442267105839
"572","USA",2000,1,6,16,37.370991690997
"573","USA",2000,1,6,17,38.4139033938087
"574","USA",2000,1,6,18,39.5405314993213
"575","USA",2000,1,6,19,40.6987557912689
"576","USA",2000,1,6,20,41.8715626110574
"577","USA",2000,1,6,21,43.0313635345006
"578","USA",2000,1,6,22,44.1782690343391
"579","USA",2000,1,6,23,45.3150377921056
"580","USA",2000,1,6,24,46.4629584807614
"581","USA",2000,1,6,25,47.6635535450149
"582","USA",2000,1,6,26,48.9538046876091
"583","USA",2000,1,6,27,50.4044125686408
"584","USA",2000,1,6,28,52.055769159384
"585","USA",2000,1,6,29,53.9808357505273
"586","USA",2000,1,6,30,56.2250014822132
"587","USA",2000,1,6,31,58.8619504979586
"588","USA",2000,1,6,32,61.9423677882491
"589","USA",2000,1,6,33,65.5301773309483
"590","USA",2000,1,6,34,69.6784595746661
"591","USA",2000,1,6,35,74.423303303196
"592","USA",2000,1,6,36,79.8130729974807
"593","USA",2000,1,6,37,85.8392581085486
"594","USA",2000,1,6,38,92.5306145290112
"595","USA",2000,1,6,39,99.8149301601289
"596","USA",2000,1,6,40,107.675384959829
"597","USA",2000,1,6,41,115.941416198154
"598","USA",2000,1,6,42,124.54377024179
"599","USA",2000,1,6,43,133.275724831795
"600","USA",2000,1,6,44,142.035957528561
"601","USA",2000,1,6,45,150.654690556652
"602","USA",2000,1,6,46,159.024965038125
"603","USA",2000,1,6,47,167.030534336964
"604","USA",2000,1,6,48,174.572074234956
"605","USA",2000,1,6,49,181.562580066923
"606","USA",2000,1,6,50,187.925283663807
"607","USA",2000,1,6,51,193.642154911313
"608","USA",2000,1,6,52,198.698228101651
"609","USA",2000,1,6,53,203.281544077104
"610","USA",2000,1,6,54,207.474547396745
"611","USA",2000,1,6,55,211.72942393525
"612","USA",2000,1,6,56,216.21346407436
"613","USA",2000,1,6,57,221.503197542892
"614","USA",2000,1,6,58,227.820068535172
"615","USA",2000,1,6,59,235.719845366026
"616","USA",2000,1,6,60,245.491177283064
