"cohort","edu","sex","origin","women_total","children_total","parity_0","parity_1","parity_2","parity_3","parity_4","parity_5","parity_6","parity_7","parity_8p","CFR","CFR1","CFR2","CFR3","CFR4","CFR5","CFR6","CFR7","CFR8p","SHARE0","SHARE1","SHARE2","SHARE3","SHARE4","SHARE5","SHARE6","SHARE7","SHARE8p","PPR01","PPR12","PPR23","PPR34","PPR45","PPR56","PPR67"
1949,"ISCED5B-6","F","Total",175,408,11,12,86,50,13,2,0,0,1,2.331,0.937,0.869,0.377,0.091,0.017,0.006,0.006,0.029,0.063,0.069,0.491,0.286,0.074,0.011,0.000,0.000,0.006,0.937,0.927,0.434,0.242,0.188,0.333,1.000
1950,"ISCED0-2A","F","Total",1806,5084,30,130,580,647,294,86,29,7,3,2.815,0.983,0.911,0.590,0.232,0.069,0.022,0.006,0.002,0.017,0.072,0.321,0.358,0.163,0.048,0.016,0.004,0.002,0.983,0.927,0.648,0.393,0.298,0.312,0.256
1950,"ISCED3C-A","F","Total",549,1242,22,53,285,145,36,8,0,0,0,2.262,0.960,0.863,0.344,0.080,0.015,0.000,0.000,-0.000,0.040,0.097,0.519,0.264,0.066,0.015,0.000,0.000,0.000,0.960,0.899,0.399,0.233,0.182,0.000,0.000
1950,"ISCED5B-6","F","Total",203,447,6,26,106,54,9,1,1,0,0,2.202,0.970,0.842,0.320,0.054,0.010,0.005,0.000,-0.000,0.030,0.128,0.522,0.266,0.044,0.005,0.005,0.000,-0.000,0.970,0.868,0.380,0.169,0.182,0.500,0.000
1951,"ISCED0-2A","F","Total",1764,4897,32,137,557,665,257,80,29,7,0,2.776,0.982,0.904,0.588,0.211,0.066,0.020,0.004,-0.000,0.018,0.078,0.316,0.377,0.146,0.045,0.016,0.004,0.000,0.982,0.921,0.651,0.359,0.311,0.310,0.194
1951,"ISCED3C-A","F","Total",585,1293,24,58,328,135,29,10,0,0,1,2.210,0.959,0.860,0.299,0.068,0.019,0.002,0.002,0.002,0.041,0.099,0.561,0.231,0.050,0.017,0.000,0.000,0.002,0.959,0.897,0.348,0.229,0.275,0.091,1.000
1951,"ISCED5B-6","F","Total",173,378,7,19,97,38,9,3,0,0,0,2.185,0.960,0.850,0.289,0.069,0.017,0.000,0.000,0.000,0.040,0.110,0.561,0.220,0.052,0.017,0.000,0.000,-0.000,0.960,0.886,0.340,0.240,0.250,0.000,0.000
1952,"ISCED0-2A","F","Total",1912,5100,33,141,733,657,252,67,25,3,1,2.667,0.983,0.909,0.526,0.182,0.050,0.015,0.002,0.001,0.017,0.074,0.383,0.344,0.132,0.035,0.013,0.002,0.001,0.983,0.925,0.578,0.346,0.276,0.302,0.138
1952,"ISCED3C-A","F","Total",787,1772,24,86,424,197,42,10,2,0,2,2.252,0.970,0.860,0.321,0.071,0.018,0.005,0.003,0.004,0.030,0.109,0.539,0.250,0.053,0.013,0.003,0.000,0.003,0.970,0.887,0.374,0.221,0.250,0.286,0.500
1952,"ISCED5B-6","F","Total",224,458,6,36,134,40,6,2,0,0,0,2.045,0.973,0.812,0.214,0.036,0.009,0.000,0.000,0.000,0.027,0.161,0.598,0.179,0.027,0.009,0.000,0.000,0.000,0.973,0.835,0.264,0.167,0.250,0.000,0.000
